Age Group,Sleep Hours,Work Hours,Physical Activities,Mental State,Severity,Recommendations
15-19,<6,<6,run,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,run,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,run,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,run,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,run,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,run,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,run,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,run,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,run,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,run,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,run,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,run,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,run,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,run,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,run,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,run,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,run,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,run,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,run,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,yoga,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,yoga,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,yoga,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,yoga,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,yoga,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,yoga,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,yoga,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,yoga,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,yoga,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,yoga,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,yoga,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,yoga,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,yoga,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,yoga,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,yoga,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,yoga,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,yoga,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,yoga,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,yoga,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,yoga,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,yoga,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,yoga,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,yoga,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,yoga,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,yoga,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,yoga,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,yoga,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,gym,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,gym,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,gym,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,gym,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,gym,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,gym,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,gym,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,gym,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,gym,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,gym,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,gym,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,gym,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,gym,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,gym,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,gym,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,gym,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,gym,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,gym,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,gym,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,gym,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,gym,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,gym,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,gym,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,gym,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,gym,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,gym,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,gym,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,no-exercise,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,no-exercise,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,no-exercise,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,no-exercise,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,no-exercise,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,no-exercise,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,no-exercise,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,no-exercise,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,no-exercise,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,no-exercise,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,no-exercise,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,no-exercise,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,no-exercise,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,no-exercise,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
